Training began at: 2018-01-01
Training completed at: 
A2C algorithm
Number of Products 4
State Setting: INVENTORY
Reward function: VALUE_ADD
Planning Time Horizon = 7
Random seed: 
==============================================================================
Episode Results: 
total_reward	on_time	late	not_shipped	
-36544416.440305	0.304808	0.491986	0.203205	
-41587479.100622	0.368632	0.385232	0.246136	
-35189022.911077	0.340870	0.449628	0.209502	
-40837232.636259	0.358615	0.411849	0.229536	
-35878919.302162	0.363194	0.436176	0.200630	
-32306063.758770	0.297081	0.499714	0.203205	
-38652928.773826	0.355467	0.447911	0.196623	
-38038669.835758	0.369204	0.409273	0.221523	
-41291141.750307	0.361191	0.396680	0.242129	
-32577379.787898	0.336005	0.490269	0.173726	
-37425500.703863	0.372353	0.418432	0.209216	
-39097257.779780	0.346022	0.427304	0.226674	
-40152023.812593	0.353749	0.430166	0.216085	
-39605647.680556	0.340011	0.420435	0.239554	
-39415278.107307	0.377790	0.398397	0.223812	
-45770661.985261	0.382942	0.370922	0.246136	
-40856791.234600	0.309388	0.464797	0.225816	
-37074312.834510	0.338008	0.443331	0.218661	
-35487439.131329	0.346594	0.461362	0.192044	
-42773444.033814	0.355467	0.413280	0.231254	
-32352795.009635	0.311963	0.498283	0.189754	
-32095713.060330	0.314253	0.512879	0.172868	
-39122496.046156	0.338008	0.437035	0.224957	
-37312065.802993	0.332570	0.461362	0.206068	
-34226561.828955	0.357756	0.451059	0.191185	
-34744832.040079	0.355180	0.463652	0.181168	
-44640953.882210	0.342015	0.399542	0.258443	
-40850193.029081	0.356325	0.424442	0.219233	
-38024431.333877	0.293074	0.490841	0.216085	
-34549397.721262	0.360046	0.455352	0.184602	
-36817410.815594	0.314825	0.483114	0.202061	
-43901406.008523	0.382942	0.373211	0.243847	
-41660229.364077	0.350029	0.421866	0.228105	
-32916885.584280	0.327991	0.473383	0.198626	
-40115782.609115	0.413280	0.370922	0.215799	
-39944880.559233	0.368346	0.392101	0.239554	
-28311358.838537	0.292788	0.537207	0.170006	
-36461899.726931	0.317401	0.477962	0.204637	
-35167956.414194	0.336577	0.474814	0.188609	
-40567914.854246	0.372066	0.402118	0.225816	
-38906206.016647	0.339439	0.436176	0.224385	
-44383022.393417	0.383515	0.386377	0.230109	
-34063945.511907	0.321408	0.483400	0.195192	
-39762440.817942	0.427304	0.362622	0.210074	
-42889379.101086	0.364053	0.400973	0.234974	
-40743953.456613	0.359473	0.420149	0.220378	
-33983429.832119	0.330567	0.466228	0.203205	
-37142308.730194	0.321122	0.469662	0.209216	
-40251872.053933	0.356039	0.413852	0.230109	
-34050742.469801	0.343732	0.460218	0.196050	
-36823031.466017	0.362908	0.430166	0.206926	
-40917726.486053	0.356611	0.418718	0.224671	
-38048477.485455	0.342301	0.442473	0.215226	
-38972192.788851	0.356039	0.422438	0.221523	
-35108633.622756	0.324270	0.483400	0.192330	
-39043929.655995	0.331139	0.452204	0.216657	
-33501735.789493	0.361763	0.463652	0.174585	
-33808018.737228	0.299657	0.516027	0.184316	
-37217087.979981	0.373784	0.421007	0.205209	
-41069623.292817	0.402118	0.363194	0.234688	
-31973932.996878	0.300229	0.521179	0.178592	
-37897765.680283	0.374928	0.412421	0.212650	
-33450679.753570	0.297939	0.511448	0.190612	
-35737056.566716	0.382370	0.413280	0.204350	
-41192230.793407	0.339725	0.417287	0.242988	
-38297966.176014	0.323698	0.456211	0.220092	
-40996143.998114	0.366342	0.419576	0.214081	
-40359086.614347	0.377504	0.384946	0.237550	
-36833999.054850	0.350029	0.435604	0.214367	
-39336722.464868	0.377218	0.402977	0.219805	
-35380859.495431	0.322553	0.473097	0.204350	
-35025576.582005	0.312536	0.491700	0.195764	
-38754544.593132	0.325987	0.453635	0.220378	
-36435853.688027	0.348598	0.444190	0.207212	
-36061592.776366	0.366342	0.445049	0.188609	
-36391703.079384	0.383228	0.405266	0.211505	
-35375474.856693	0.279908	0.524327	0.195764	
-41805591.367378	0.356898	0.412421	0.230681	
